what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1330491849092
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330491849092
java.specification.version,sysinfo,,,"1.6",1330491849092
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330491849092
java.version,sysinfo,,,"1.6.0_25",1330491849092
java.vm.info,sysinfo,,,"mixed mode",1330491849092
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1330491849092
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330491849092
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330491849092
java.vm.specification.version,sysinfo,,,"1.0",1330491849092
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330491849092
java.vm.version,sysinfo,,,"20.0-b11",1330491849092
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1330491849236
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1330491850361
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330491855376
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330491855724
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1330491857440
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1330491857629
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330491858680
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1330491859603
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1330491859718
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1330491884958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330491885412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330491891604
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330491895910
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1330491896037
started,bundle,com.google.gdt.eclipse.designer.hosted,2.4.2.r37x201110181233,"com.google.gdt.eclipse.designer.hosted",1330491925110
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1330491965786
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1330491965898
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1330491966402
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer",1330491970724
started,bundle,com.google.gdt.eclipse.designer.hosted.2_2,2.4.2.r37x201110181233,"com.google.gdt.eclipse.designer.hosted.2_2",1330491970827
started,bundle,com.google.gdt.eclipse.designer.hosted.lib,2.4.2.r37x201110181233,"com.google.gdt.eclipse.designer.hosted.lib",1330491971110
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1330491972819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330491973067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330491994337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330491995242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330491996431
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1330492005154
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330492005703
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1330492009188
started,bundle,com.google.gdt.eclipse.maven,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.maven",1330492012120
started,bundle,com.google.gdt.eclipse.suite,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.suite",1330492012130
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330492012573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330492016834
